Stadt,city,--,1521732913.9052596,1
als,as,Wenn wir Deutschland als ein land verstehen wollen...,1521732949.7668226,1
das Kind,the child,Das Kind ist jung.,1521650471.8992345,1
der Schnee,snow,Im Sommer bedeckt der Schnee noch die Alpen.,1521733886.3895085,0
der Wand,wall,die Landkarte hängt noch an der Wand,1521734175.1529741,0
fast,almost,Ich bin fast ein Mann.,1521732835.1015024,1
läuften,to run,Er läuft schnell.,1521733886.3895085,0
mehrfach,repeatedly,Er kommt mehrfach.,1521651376.8746433,1
nie,never,Ich habe Ungarn nie besucht.,1521734175.1529741,0
noch,still,Wir wollen noch Frankreich besuchen.,1521733886.3895085,0
nur,only,Gibt es nur ein mann.,1521651325.6556368,1
schon,already,Er schon ist hier.,1521651384.3948293,1
schwer,difficult or heavy,Ist schwer zu verstehen das Geschichte.,1521732892.5817583,1
sondern,but (in the sense of "rather"),... müssen wir nicht nur Geschichte lernen sondern auch...,1521732878.684722,1
verscheiden,different,Er ist sehr verscheiden.,1521732901.772462,1
viele,many,Es gibt viele männer.,1521732943.07559,1
wenn,when or if,Wenn wir die landkarte wieder anschauen...,1521732937.0414507,1
wieder,again,Wieder gibt es Krieg.,1521651361.071108,1
zusammen,together,Wir werden zusammen kommen.,1521650456.0809088,2
zwischen,between,Der Rio Grande ist die Grenze zwischen den USA und Mexiko.,1521651344.3963585,1
